CityId,ClusterId
177494,337
165114,316
53767,229
179367,349
140403,180
32571,347
185365,141
106805,339
88533,30
129283,125
145013,148
77772,210
109603,216
42890,210
175799,335
46805,28
148823,278
72033,374
126398,154
88320,48
92325,137
162180,201
140385,58
37159,133
106278,100
29176,167
14221,91
122842,342
124574,345
2163,90
102488,77
37041,82
166035,251
62232,156
8607,400
60426,142
137064,153
25695,265
645,231
84726,289
155994,346
186138,182
169955,106
116987,306
160968,167
13950,139
31843,341
20873,394
118045,305
195167,160
111415,152
86230,338
23162,335
39241,182
90638,82
128469,79
64790,217
42900,260
69439,16
178889,264
111967,345
125520,396
46827,18
16466,126
67614,379
152313,354
55558,186
94907,380
104487,397
192549,259
53060,160
114352,236
28337,291
100197,277
157184,191
177276,143
143890,307
49828,141
155712,362
195056,44
139177,161
104932,196
121531,200
50400,338
29862,242
39049,173
115487,287
163075,226
111498,40
99625,234
176196,97
69397,277
19887,349
155895,26
158296,392
187953,161
81338,59
115704,121
146488,13
95105,28
152885,351
35178,57
84918,105
86139,162
140171,210
41742,136
39858,50
166389,336
54355,157
18180,80
184233,229
123798,223
193079,58
69939,392
70174,345
192601,37
190773,342
70656,340
16383,400
195899,131
134741,241
36308,180
177266,122
31885,122
892,160
113481,236
90410,375
69,347
115927,343
109953,97
129991,26
50665,361
135807,346
135916,324
157723,80
186348,252
164871,34
125208,191
51261,158
35370,400
80586,18
74021,18
146384,202
104493,347
53550,122
182424,270
45704,181
66152,167
10822,109
37830,369
37753,296
121009,129
173523,210
111641,362
129962,229
153590,395
79066,360
85145,257
26129,172
159442,379
16216,88
23563,119
183380,367
171528,318
158511,40
109806,294
153415,181
143672,162
81292,27
184197,203
194943,18
95725,72
160061,120
43261,381
64943,374
151094,353
25953,75
162375,230
146523,59
193645,261
23764,223
124186,231
111056,105
81608,333
168780,109
128830,74
15874,218
150978,370
35210,375
54422,294
111167,77
145316,247
169686,237
168243,156
179086,255
134980,307
34630,390
96661,100
5385,108
114666,55
172922,123
84486,55
91071,210
109879,343
175428,226
40422,366
68000,354
5810,394
157244,60
49767,271
7375,364
170985,210
67223,38
31462,356
81586,58
125923,359
66592,161
81767,90
41894,395
77446,33
116957,365
154704,27
113159,143
62382,260
32287,312
190394,257
149546,139
159897,162
33394,357
191136,106
136340,193
94703,36
176089,38
5659,241
67773,359
55377,334
31720,12
61456,369
94810,288
119995,82
19204,28
184594,379
59593,233
64599,361
183804,362
80316,293
94590,400
148417,247
159700,77
134894,133
131212,125
130305,374
42983,135
136795,161
20194,189
74720,134
69626,65
195616,133
56771,18
150649,177
50239,250
187741,241
34987,246
135024,388
98136,236
139018,251
33234,266
14977,20
139973,88
150080,105
33019,208
181033,361
163847,245
103649,379
129097,337
9929,362
11866,354
24939,120
175687,36
162557,259
103158,359
164626,398
92584,88
157774,13
152616,341
57415,342
146035,320
68990,49
86853,373
12928,246
110633,147
141727,35
45296,43
67543,82
113956,315
74492,393
60039,203
145647,227
151565,294
46897,347
21605,231
66993,180
75299,201
17671,372
133633,244
36739,390
152244,397
49591,210
169019,178
75883,373
132491,369
141016,210
115846,36
2199,229
64022,106
168323,305
59003,161
66341,270
72905,359
8062,376
39417,341
25109,18
127334,292
156322,356
159895,184
3021,141
99956,55
186425,97
197620,102
38328,208
189751,394
13650,16
121157,367
8536,231
113792,347
101797,392
128569,364
5437,197
20200,141
59913,16
156146,350
57225,396
169234,218
185308,90
1322,375
25521,397
196036,247
164451,58
146746,191
36905,96
85910,259
178930,208
49988,396
148253,340
175725,161
56093,338
88990,156
119812,122
45621,346
24338,346
74470,239
169224,66
167057,253
118420,298
43294,316
1665,359
15767,292
182820,85
108363,395
107660,315
40432,390
105501,240
38002,181
62154,18
106961,280
95618,66
184933,49
147323,201
157200,97
54506,137
166128,351
128770,280
91679,66
59972,94
45642,229
79473,373
96648,305
57284,312
137573,199
119299,58
196620,393
197561,284
110924,397
79936,42
99581,38
93503,270
34178,120
148643,105
21624,356
98111,205
197423,373
61953,20
103595,226
56912,346
73329,282
100708,354
96293,27
78556,207
5509,357
182526,242
40738,397
94708,400
94823,338
102691,67
105724,398
125966,261
5686,38
137996,229
113827,119
26820,343
1036,356
52015,137
45875,261
101814,173
58090,141
9982,373
52505,356
156162,347
93959,27
168002,28
104671,173
161108,331
69133,390
168785,210
2822,90
117307,366
130322,120
7304,161
133124,350
183787,263
16794,340
14852,198
19370,74
38939,363
